,0,1,2
0,"[19.43494, -99.195697]","[19.359143913879322, -98.92848920641764]",4069
1,"[19.43494, -99.195697]","[19.351671178252396, -98.94924235289035]",3397
2,"[19.43494, -99.195697]","[19.23446706792206, -98.89768460764665]",4782
3,"[19.43494, -99.195697]","[19.200480785694886, -99.06857299540648]",4461
4,"[19.43494, -99.195697]","[19.331528330318065, -98.95977721631968]",3501
5,"[19.43494, -99.195697]","[19.24660725229904, -98.91261159582325]",4248
6,"[19.43494, -99.195697]","[19.28635405427697, -99.01378764315798]",3561
7,"[19.43494, -99.195697]","[19.31523404548342, -98.92532990607914]",3939
8,"[19.43494, -99.195697]","[19.218224670083124, -98.9957387869367]",5175
9,"[19.43494, -99.195697]","[19.238716305928236, -98.8937882130366]",4121
10,"[19.43494, -99.195697]","[19.262283454737926, -99.0840595002207]",3245
11,"[19.43494, -99.195697]","[19.33869584784552, -98.99391380497931]",3229
12,"[19.43494, -99.195697]","[19.226021457671923, -99.06484388336412]",4129
13,"[19.359143913879322, -98.92848920641764]","[19.351671178252396, -98.94924235289035]",3397
14,"[19.359143913879322, -98.92848920641764]","[19.23446706792206, -98.89768460764665]",4782
15,"[19.359143913879322, -98.92848920641764]","[19.200480785694886, -99.06857299540648]",4461
16,"[19.359143913879322, -98.92848920641764]","[19.331528330318065, -98.95977721631968]",1808
17,"[19.359143913879322, -98.92848920641764]","[19.24660725229904, -98.91261159582325]",3398
18,"[19.359143913879322, -98.92848920641764]","[19.28635405427697, -99.01378764315798]",2781
19,"[19.359143913879322, -98.92848920641764]","[19.31523404548342, -98.92532990607914]",1813
20,"[19.359143913879322, -98.92848920641764]","[19.218224670083124, -98.9957387869367]",4114
21,"[19.359143913879322, -98.92848920641764]","[19.238716305928236, -98.8937882130366]",3270
22,"[19.359143913879322, -98.92848920641764]","[19.262283454737926, -99.0840595002207]",4584
23,"[19.359143913879322, -98.92848920641764]","[19.33869584784552, -98.99391380497931]",2091
24,"[19.359143913879322, -98.92848920641764]","[19.226021457671923, -99.06484388336412]",5162
25,"[19.351671178252396, -98.94924235289035]","[19.23446706792206, -98.89768460764665]",3931
26,"[19.351671178252396, -98.94924235289035]","[19.200480785694886, -99.06857299540648]",4709
27,"[19.351671178252396, -98.94924235289035]","[19.331528330318065, -98.95977721631968]",1052
28,"[19.351671178252396, -98.94924235289035]","[19.24660725229904, -98.91261159582325]",2679
29,"[19.351671178252396, -98.94924235289035]","[19.28635405427697, -99.01378764315798]",2024
30,"[19.351671178252396, -98.94924235289035]","[19.31523404548342, -98.92532990607914]",1397
31,"[19.351671178252396, -98.94924235289035]","[19.218224670083124, -98.9957387869367]",3358
32,"[19.351671178252396, -98.94924235289035]","[19.238716305928236, -98.8937882130366]",2551
