,0,1,2
0,"[19.43494, -99.195697]","[19.451386763323626, -99.04376442644046]",2082
1,"[19.43494, -99.195697]","[19.57033974755775, -98.99451031049122]",3676
2,"[19.43494, -99.195697]","[19.390355974676364, -99.0435674876742]",2643
3,"[19.43494, -99.195697]","[19.426591104675204, -99.04418893786857]",2452
4,"[19.43494, -99.195697]","[19.395573146114494, -99.02745525551764]",2707
5,"[19.43494, -99.195697]","[19.403378299014182, -98.90786505654526]",4383
6,"[19.43494, -99.195697]","[19.527845824899295, -98.88916567643976]",3431
7,"[19.43494, -99.195697]","[19.433791636511348, -99.03026835731171]",2833
8,"[19.43494, -99.195697]","[19.394717011022145, -99.06394165309631]",2193
9,"[19.43494, -99.195697]","[19.53511504704348, -98.97984672757082]",3733
10,"[19.43494, -99.195697]","[19.373907586588626, -98.9863277974932]",3171
11,"[19.43494, -99.195697]","[19.485792124760632, -98.98047408784863]",3049
12,"[19.451386763323626, -99.04376442644046]","[19.57033974755775, -98.99451031049122]",2722
13,"[19.451386763323626, -99.04376442644046]","[19.390355974676364, -99.0435674876742]",1125
14,"[19.451386763323626, -99.04376442644046]","[19.426591104675204, -99.04418893786857]",411
15,"[19.451386763323626, -99.04376442644046]","[19.395573146114494, -99.02745525551764]",1241
16,"[19.451386763323626, -99.04376442644046]","[19.403378299014182, -98.90786505654526]",2857
17,"[19.451386763323626, -99.04376442644046]","[19.527845824899295, -98.88916567643976]",1875
18,"[19.451386763323626, -99.04376442644046]","[19.433791636511348, -99.03026835731171]",754
19,"[19.451386763323626, -99.04376442644046]","[19.394717011022145, -99.06394165309631]",1008
20,"[19.451386763323626, -99.04376442644046]","[19.53511504704348, -98.97984672757082]",2177
21,"[19.451386763323626, -99.04376442644046]","[19.373907586588626, -98.9863277974932]",2103
22,"[19.451386763323626, -99.04376442644046]","[19.485792124760632, -98.98047408784863]",1493
23,"[19.57033974755775, -98.99451031049122]","[19.390355974676364, -99.0435674876742]",3404
24,"[19.57033974755775, -98.99451031049122]","[19.426591104675204, -99.04418893786857]",2726
25,"[19.57033974755775, -98.99451031049122]","[19.395573146114494, -99.02745525551764]",3214
26,"[19.57033974755775, -98.99451031049122]","[19.403378299014182, -98.90786505654526]",4055
27,"[19.57033974755775, -98.99451031049122]","[19.527845824899295, -98.88916567643976]",2709
28,"[19.57033974755775, -98.99451031049122]","[19.433791636511348, -99.03026835731171]",3008
29,"[19.57033974755775, -98.99451031049122]","[19.394717011022145, -99.06394165309631]",3323
30,"[19.57033974755775, -98.99451031049122]","[19.53511504704348, -98.97984672757082]",1312
31,"[19.57033974755775, -98.99451031049122]","[19.373907586588626, -98.9863277974932]",3775
32,"[19.57033974755775, -98.99451031049122]","[19.485792124760632, -98.98047408784863]",1827
33,"[19.390355974676364, -99.0435674876742]","[19.426591104675204, -99.04418893786857]",936
34,"[19.390355974676364, -99.0435674876742]","[19.395573146114494, -99.02745525551764]",526
35,"[19.390355974676364, -99.0435674876742]","[19.403378299014182, -98.90786505654526]",2670
36,"[19.390355974676364, -99.0435674876742]","[19.527845824899295, -98.88916567643976]",2693
37,"[19.390355974676364, -99.0435674876742]","[19.433791636511348, -99.03026835731171]",1081
38,"[19.390355974676364, -99.0435674876742]","[19.394717011022145, -99.06394165309631]",776
39,"[19.390355974676364, -99.0435674876742]","[19.53511504704348, -98.97984672757082]",2995
40,"[19.390355974676364, -99.0435674876742]","[19.373907586588626, -98.9863277974932]",1401
41,"[19.390355974676364, -99.0435674876742]","[19.485792124760632, -98.98047408784863]",2311
42,"[19.426591104675204, -99.04418893786857]","[19.395573146114494, -99.02745525551764]",526
43,"[19.426591104675204, -99.04418893786857]","[19.403378299014182, -98.90786505654526]",2738
44,"[19.426591104675204, -99.04418893786857]","[19.527845824899295, -98.88916567643976]",2032
45,"[19.426591104675204, -99.04418893786857]","[19.433791636511348, -99.03026835731171]",437
46,"[19.426591104675204, -99.04418893786857]","[19.394717011022145, -99.06394165309631]",1064
47,"[19.426591104675204, -99.04418893786857]","[19.53511504704348, -98.97984672757082]",2334
48,"[19.426591104675204, -99.04418893786857]","[19.373907586588626, -98.9863277974932]",1855
49,"[19.426591104675204, -99.04418893786857]","[19.485792124760632, -98.98047408784863]",1649
50,"[19.395573146114494, -99.02745525551764]","[19.403378299014182, -98.90786505654526]",2738
51,"[19.395573146114494, -99.02745525551764]","[19.527845824899295, -98.88916567643976]",2032
52,"[19.395573146114494, -99.02745525551764]","[19.433791636511348, -99.03026835731171]",437
53,"[19.395573146114494, -99.02745525551764]","[19.394717011022145, -99.06394165309631]",1139
54,"[19.395573146114494, -99.02745525551764]","[19.53511504704348, -98.97984672757082]",2685
55,"[19.395573146114494, -99.02745525551764]","[19.373907586588626, -98.9863277974932]",1088
56,"[19.395573146114494, -99.02745525551764]","[19.485792124760632, -98.98047408784863]",2001
57,"[19.403378299014182, -98.90786505654526]","[19.527845824899295, -98.88916567643976]",2383
58,"[19.403378299014182, -98.90786505654526]","[19.433791636511348, -99.03026835731171]",2582
59,"[19.403378299014182, -98.90786505654526]","[19.394717011022145, -99.06394165309631]",2999
60,"[19.403378299014182, -98.90786505654526]","[19.53511504704348, -98.97984672757082]",3242
61,"[19.403378299014182, -98.90786505654526]","[19.373907586588626, -98.9863277974932]",2109
62,"[19.403378299014182, -98.90786505654526]","[19.485792124760632, -98.98047408784863]",2402
63,"[19.527845824899295, -98.88916567643976]","[19.433791636511348, -99.03026835731171]",2292
64,"[19.527845824899295, -98.88916567643976]","[19.394717011022145, -99.06394165309631]",2546
65,"[19.527845824899295, -98.88916567643976]","[19.53511504704348, -98.97984672757082]",2339
66,"[19.527845824899295, -98.88916567643976]","[19.373907586588626, -98.9863277974932]",3088
67,"[19.527845824899295, -98.88916567643976]","[19.485792124760632, -98.98047408784863]",1499
68,"[19.433791636511348, -99.03026835731171]","[19.394717011022145, -99.06394165309631]",1317
69,"[19.433791636511348, -99.03026835731171]","[19.53511504704348, -98.97984672757082]",2516
70,"[19.433791636511348, -99.03026835731171]","[19.373907586588626, -98.9863277974932]",1953
71,"[19.433791636511348, -99.03026835731171]","[19.485792124760632, -98.98047408784863]",1832
72,"[19.394717011022145, -99.06394165309631]","[19.53511504704348, -98.97984672757082]",2516
73,"[19.394717011022145, -99.06394165309631]","[19.373907586588626, -98.9863277974932]",1425
74,"[19.394717011022145, -99.06394165309631]","[19.485792124760632, -98.98047408784863]",2630
75,"[19.53511504704348, -98.97984672757082]","[19.373907586588626, -98.9863277974932]",1425
76,"[19.53511504704348, -98.97984672757082]","[19.485792124760632, -98.98047408784863]",2630
77,"[19.373907586588626, -98.9863277974932]","[19.485792124760632, -98.98047408784863]",2630
