,0,1,2
0,"[19.43494, -99.195697]","[19.348982397554433, -99.41006897111343]",3706
1,"[19.43494, -99.195697]","[19.305285452158095, -99.39848815802986]",2698
2,"[19.43494, -99.195697]","[19.344505860824373, -99.41412558420897]",3233
3,"[19.43494, -99.195697]","[19.215753641338598, -99.28784104799603]",4008
4,"[19.43494, -99.195697]","[19.24366307743769, -99.37410378989058]",2848
5,"[19.43494, -99.195697]","[19.210003017001746, -99.37239974791837]",4723
6,"[19.43494, -99.195697]","[19.283233143613977, -99.38244708305169]",2541
7,"[19.43494, -99.195697]","[19.21726790349794, -99.32291114051043]",4325
8,"[19.43494, -99.195697]","[19.33954768146602, -99.37505054799445]",3675
9,"[19.43494, -99.195697]","[19.212677047683112, -99.302143970052]",4298
10,"[19.43494, -99.195697]","[19.260036669744057, -99.39534166191987]",3737
11,"[19.43494, -99.195697]","[19.293661871392363, -99.29865490593097]",2591
12,"[19.43494, -99.195697]","[19.3065061616201, -99.39325293491389]",2441
13,"[19.43494, -99.195697]","[19.267786613473948, -99.28242028807253]",3277
14,"[19.348982397554433, -99.41006897111343]","[19.305285452158095, -99.39848815802986]",2698
15,"[19.348982397554433, -99.41006897111343]","[19.344505860824373, -99.41412558420897]",1719
16,"[19.348982397554433, -99.41006897111343]","[19.215753641338598, -99.28784104799603]",5669
17,"[19.348982397554433, -99.41006897111343]","[19.24366307743769, -99.37410378989058]",2208
18,"[19.348982397554433, -99.41006897111343]","[19.210003017001746, -99.37239974791837]",4083
19,"[19.348982397554433, -99.41006897111343]","[19.283233143613977, -99.38244708305169]",1901
20,"[19.348982397554433, -99.41006897111343]","[19.21726790349794, -99.32291114051043]",5186
21,"[19.348982397554433, -99.41006897111343]","[19.33954768146602, -99.37505054799445]",1849
22,"[19.348982397554433, -99.41006897111343]","[19.212677047683112, -99.302143970052]",5221
23,"[19.348982397554433, -99.41006897111343]","[19.260036669744057, -99.39534166191987]",3096
24,"[19.348982397554433, -99.41006897111343]","[19.293661871392363, -99.29865490593097]",2841
25,"[19.348982397554433, -99.41006897111343]","[19.3065061616201, -99.39325293491389]",1405
26,"[19.348982397554433, -99.41006897111343]","[19.267786613473948, -99.28242028807253]",4668
27,"[19.305285452158095, -99.39848815802986]","[19.344505860824373, -99.41412558420897]",1719
28,"[19.305285452158095, -99.39848815802986]","[19.215753641338598, -99.28784104799603]",5669
29,"[19.305285452158095, -99.39848815802986]","[19.24366307743769, -99.37410378989058]",2208
30,"[19.305285452158095, -99.39848815802986]","[19.210003017001746, -99.37239974791837]",3073
31,"[19.305285452158095, -99.39848815802986]","[19.283233143613977, -99.38244708305169]",891
32,"[19.305285452158095, -99.39848815802986]","[19.21726790349794, -99.32291114051043]",4176
33,"[19.305285452158095, -99.39848815802986]","[19.33954768146602, -99.37505054799445]",1833
34,"[19.305285452158095, -99.39848815802986]","[19.212677047683112, -99.302143970052]",4212
35,"[19.305285452158095, -99.39848815802986]","[19.260036669744057, -99.39534166191987]",2086
36,"[19.305285452158095, -99.39848815802986]","[19.293661871392363, -99.29865490593097]",1832
37,"[19.305285452158095, -99.39848815802986]","[19.3065061616201, -99.39325293491389]",255
38,"[19.305285452158095, -99.39848815802986]","[19.267786613473948, -99.28242028807253]",3659
39,"[19.344505860824373, -99.41412558420897]","[19.215753641338598, -99.28784104799603]",4660
40,"[19.344505860824373, -99.41412558420897]","[19.24366307743769, -99.37410378989058]",1734
41,"[19.344505860824373, -99.41412558420897]","[19.210003017001746, -99.37239974791837]",3609
42,"[19.344505860824373, -99.41412558420897]","[19.283233143613977, -99.38244708305169]",1427
43,"[19.344505860824373, -99.41412558420897]","[19.21726790349794, -99.32291114051043]",4712
44,"[19.344505860824373, -99.41412558420897]","[19.33954768146602, -99.37505054799445]",1888
45,"[19.344505860824373, -99.41412558420897]","[19.212677047683112, -99.302143970052]",4747
46,"[19.344505860824373, -99.41412558420897]","[19.260036669744057, -99.39534166191987]",2622
47,"[19.344505860824373, -99.41412558420897]","[19.293661871392363, -99.29865490593097]",2368
48,"[19.344505860824373, -99.41412558420897]","[19.3065061616201, -99.39325293491389]",931
49,"[19.344505860824373, -99.41412558420897]","[19.267786613473948, -99.28242028807253]",4194
50,"[19.215753641338598, -99.28784104799603]","[19.24366307743769, -99.37410378989058]",3359
51,"[19.215753641338598, -99.28784104799603]","[19.210003017001746, -99.37239974791837]",3968
52,"[19.215753641338598, -99.28784104799603]","[19.283233143613977, -99.38244708305169]",3778
53,"[19.215753641338598, -99.28784104799603]","[19.21726790349794, -99.32291114051043]",444
54,"[19.215753641338598, -99.28784104799603]","[19.33954768146602, -99.37505054799445]",5569
55,"[19.215753641338598, -99.28784104799603]","[19.212677047683112, -99.302143970052]",417
56,"[19.215753641338598, -99.28784104799603]","[19.260036669744057, -99.39534166191987]",4594
57,"[19.215753641338598, -99.28784104799603]","[19.293661871392363, -99.29865490593097]",4708
58,"[19.215753641338598, -99.28784104799603]","[19.3065061616201, -99.39325293491389]",4322
59,"[19.215753641338598, -99.28784104799603]","[19.267786613473948, -99.28242028807253]",4115
60,"[19.24366307743769, -99.37410378989058]","[19.210003017001746, -99.37239974791837]",1875
61,"[19.24366307743769, -99.37410378989058]","[19.283233143613977, -99.38244708305169]",419
62,"[19.24366307743769, -99.37410378989058]","[19.21726790349794, -99.32291114051043]",2978
63,"[19.24366307743769, -99.37410378989058]","[19.33954768146602, -99.37505054799445]",2210
64,"[19.24366307743769, -99.37410378989058]","[19.212677047683112, -99.302143970052]",3013
65,"[19.24366307743769, -99.37410378989058]","[19.260036669744057, -99.39534166191987]",1614
66,"[19.24366307743769, -99.37410378989058]","[19.293661871392363, -99.29865490593097]",1953
67,"[19.24366307743769, -99.37410378989058]","[19.3065061616201, -99.39325293491389]",963
68,"[19.24366307743769, -99.37410378989058]","[19.267786613473948, -99.28242028807253]",3780
69,"[19.210003017001746, -99.37239974791837]","[19.283233143613977, -99.38244708305169]",419
70,"[19.210003017001746, -99.37239974791837]","[19.21726790349794, -99.32291114051043]",3596
71,"[19.210003017001746, -99.37239974791837]","[19.33954768146602, -99.37505054799445]",4115
72,"[19.210003017001746, -99.37239974791837]","[19.212677047683112, -99.302143970052]",3631
73,"[19.210003017001746, -99.37239974791837]","[19.260036669744057, -99.39534166191987]",3097
74,"[19.210003017001746, -99.37239974791837]","[19.293661871392363, -99.29865490593097]",3858
75,"[19.210003017001746, -99.37239974791837]","[19.3065061616201, -99.39325293491389]",2868
76,"[19.210003017001746, -99.37239974791837]","[19.267786613473948, -99.28242028807253]",5685
77,"[19.283233143613977, -99.38244708305169]","[19.21726790349794, -99.32291114051043]",3596
78,"[19.283233143613977, -99.38244708305169]","[19.33954768146602, -99.37505054799445]",4115
79,"[19.283233143613977, -99.38244708305169]","[19.212677047683112, -99.302143970052]",3631
80,"[19.283233143613977, -99.38244708305169]","[19.260036669744057, -99.39534166191987]",1270
81,"[19.283233143613977, -99.38244708305169]","[19.293661871392363, -99.29865490593097]",1676
82,"[19.283233143613977, -99.38244708305169]","[19.3065061616201, -99.39325293491389]",686
83,"[19.283233143613977, -99.38244708305169]","[19.267786613473948, -99.28242028807253]",3503
84,"[19.21726790349794, -99.32291114051043]","[19.33954768146602, -99.37505054799445]",1933
85,"[19.21726790349794, -99.32291114051043]","[19.212677047683112, -99.302143970052]",28
86,"[19.21726790349794, -99.32291114051043]","[19.260036669744057, -99.39534166191987]",4142
87,"[19.21726790349794, -99.32291114051043]","[19.293661871392363, -99.29865490593097]",4860
88,"[19.21726790349794, -99.32291114051043]","[19.3065061616201, -99.39325293491389]",3870
89,"[19.21726790349794, -99.32291114051043]","[19.267786613473948, -99.28242028807253]",4413
90,"[19.33954768146602, -99.37505054799445]","[19.212677047683112, -99.302143970052]",5143
91,"[19.33954768146602, -99.37505054799445]","[19.260036669744057, -99.39534166191987]",3018
92,"[19.33954768146602, -99.37505054799445]","[19.293661871392363, -99.29865490593097]",2766
93,"[19.33954768146602, -99.37505054799445]","[19.3065061616201, -99.39325293491389]",1589
94,"[19.33954768146602, -99.37505054799445]","[19.267786613473948, -99.28242028807253]",4593
95,"[19.212677047683112, -99.302143970052]","[19.260036669744057, -99.39534166191987]",4178
96,"[19.212677047683112, -99.302143970052]","[19.293661871392363, -99.29865490593097]",4895
97,"[19.212677047683112, -99.302143970052]","[19.3065061616201, -99.39325293491389]",3905
98,"[19.212677047683112, -99.302143970052]","[19.267786613473948, -99.28242028807253]",4386
99,"[19.260036669744057, -99.39534166191987]","[19.293661871392363, -99.29865490593097]",4895
100,"[19.260036669744057, -99.39534166191987]","[19.3065061616201, -99.39325293491389]",1906
101,"[19.260036669744057, -99.39534166191987]","[19.267786613473948, -99.28242028807253]",4723
102,"[19.293661871392363, -99.29865490593097]","[19.3065061616201, -99.39325293491389]",1906
103,"[19.293661871392363, -99.29865490593097]","[19.267786613473948, -99.28242028807253]",4723
104,"[19.3065061616201, -99.39325293491389]","[19.267786613473948, -99.28242028807253]",4723
